AdultAge,Workclass,Education,Martial_Status,Relationship,Race,Sex,Continent,Target
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>60 and <=70,Never-worked, 11th, Divorced, Not-in-family, Asian-Pac-Islander, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Unmarried, White, Male,North America, <=50K
>25 and <=30, Private, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Federal-gov, Some-college, Never-married, Own-child, Asian-Pac-Islander, Female,North America, <=50K
>25 and <=30, Local-gov, Masters, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>60 and <=70, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Divorced, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Divorced, Not-in-family, White, Male,North America, >50K
>25 and <=30, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>50 and <=60, Private, Some-college, Separated, Other-relative, White, Male,North America, <=50K
>25 and <=30, Private, 5th-6th, Never-married, Not-in-family, White, Female,North America, <=50K
>25 and <=30, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Divorced, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, 5th-6th, Divorced, Unmarried, White, Female,North America, <=50K
>25 and <=30, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
<=25, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>50 and <=60,Never-worked, HS-grad, Widowed, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, 11th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, <=50K
>60 and <=70, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
>60 and <=70, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Local-gov, Prof-school, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, Bachelors, Never-married, Not-in-family, White, Female,North America, <=50K
<=25,Never-worked, 9th, Never-married, Not-in-family, White, Female,North America, <=50K
>70 and <=80, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, 12th, Never-married, Own-child, White, Male,North America, <=50K
>25 and <=30, Federal-gov, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, HS-grad, Never-married, Unmarried, White, Male,North America, <=50K
>40 and <=50, Self-emp-not-inc, Some-college, Divorced, Not-in-family, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
<=25, Private, HS-grad, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50,Never-worked, HS-grad, Divorced, Not-in-family, Black, Female,North America, <=50K
>25 and <=30, Local-gov, HS-grad, Never-married, Other-relative, White, Male,North America, <=50K
>50 and <=60, Private, Assoc-acdm, Never-married, Unmarried, Black, Female,North America, <=50K
>40 and <=50, Private, Doctorate, Never-married, Not-in-family, White, Female,North America, >50K
>50 and <=60, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, State-gov, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Masters, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>50 and <=60, Private, 5th-6th, Widowed, Unmarried, White, Female,North America, <=50K
>25 and <=30, Private, Bachelors, Never-married, Other-relative, White, Female,North America, <=50K
>50 and <=60, Private, Some-college, Divorced, Unmarried, White, Female,North America, <=50K
>60 and <=70, Self-emp-inc, Some-college, Widowed, Not-in-family, White, Female,North America, >50K
>25 and <=30, Private, Assoc-voc, Never-married, Not-in-family, Black, Female,North America, <=50K
>50 and <=60, Self-emp-not-inc, 11th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, 7th-8th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50,Never-worked, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Assoc-voc, Divorced, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, 10th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, 5th-6th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Self-emp-not-inc, 7th-8th, Divorced, Unmarried, White, Female,North America, <=50K
>25 and <=30, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Never-married, Not-in-family, White, Female,North America, <=50K
>25 and <=30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Assoc-voc, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, State-gov, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, 10th, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Bachelors, Divorced, Not-in-family, White, Female,North America, >50K
>30 and <=40, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Self-emp-inc, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, State-gov, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30, Private, Assoc-voc, Divorced, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Local-gov, Some-college, Married-civ-spouse, Wife, White, Female,North America, >50K
>40 and <=50, Private, Bachelors, Never-married, Not-in-family, White, Male,North America, >50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, HS-grad, Never-married, Other-relative, White, Male,Antarctica, <=50K
>25 and <=30, Private, 12th, Never-married, Not-in-family, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Divorced, Unmarried, White, Female,North America, <=50K
>40 and <=50, Private, HS-grad, Divorced, Unmarried, White, Male,North America, <=50K
>30 and <=40, Private, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Self-emp-not-inc, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>25 and <=30, Private, Bachelors, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30, Federal-gov, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, HS-grad, Divorced, Own-child, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Divorced, Unmarried, White, Male,North America, >50K
>30 and <=40, Self-emp-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, State-gov, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25,Never-worked, Bachelors, Never-married, Own-child, White, Female,North America, <=50K
>30 and <=40, Private, HS-grad, Never-married, Own-child, Black, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Prof-school, Married-civ-spouse, Husband, White, Male,North America, >50K
>60 and <=70, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Some-college, Divorced, Unmarried, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, 7th-8th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Widowed, Unmarried, White, Female,North America, <=50K
>40 and <=50, Local-gov, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Assoc-voc, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Separated, Unmarried, Asian-Pac-Islander, Female,Asia, <=50K
>40 and <=50, Private, 11th, Separated, Not-in-family, Black, Female,North America, <=50K
>50 and <=60, Self-emp-not-inc, 10th, Widowed, Other-relative, White, Female,North America, <=50K
>60 and <=70, Self-emp-inc, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, State-gov, Some-college, Married-civ-spouse, Wife, White, Female,North America, <=50K
>30 and <=40, Private, 7th-8th, Never-married, Unmarried, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Widowed, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Self-emp-not-inc, Bachelors, Never-married, Not-in-family, Amer-Indian-Eskimo, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, 10th, Never-married, Unmarried, White, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Other-relative, White, Male,North America, <=50K
<=25,Never-worked, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Local-gov, Some-college, Divorced, Unmarried, White, Male,North America, >50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Divorced, Not-in-family, White, Male,North America, >50K
>25 and <=30, Local-gov, Bachelors, Never-married, Not-in-family, Black, Female,North America, <=50K
>40 and <=50, Private, HS-grad, Separated, Unmarried, Black, Female,North America, <=50K
>25 and <=30, State-gov, Some-college, Never-married, Own-child, Amer-Indian-Eskimo, Male,North America, <=50K
>60 and <=70,Never-worked, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Local-gov, Some-college, Married-civ-spouse, Wife, White, Female,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Wife, White, Female,North America, >50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>70 and <=80,Never-worked, HS-grad, Widowed, Not-in-family, Black, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Not-in-family, White, Female,North America, <=50K
>40 and <=50, Federal-gov, HS-grad, Married-spouse-absent, Unmarried, White, Female,North America, <=50K
>50 and <=60, Private, 1st-4th, Married-civ-spouse, Husband, Black, Male,North America, <=50K
>40 and <=50, Local-gov, 12th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, State-gov, Bachelors, Divorced, Unmarried, White, Male,North America, <=50K
<=25, Private, Bachelors, Never-married, Not-in-family, White, Female,North America, <=50K
>40 and <=50, Private, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, State-gov, Some-college, Never-married, Own-child, Black, Male,North America, <=50K
>30 and <=40, Local-gov, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, 12th, Never-married, Own-child, White, Male,North America, <=50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Wife, White, Female,North America, <=50K
>30 and <=40, Private, Assoc-voc, Married-civ-spouse, Wife, Amer-Indian-Eskimo, Female,North America, <=50K
>50 and <=60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Assoc-voc, Divorced, Unmarried, White, Female,North America, <=50K
>30 and <=40, Self-emp-not-inc, HS-grad, Separated, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Federal-gov, Some-college, Divorced, Not-in-family, White, Male,North America, <=50K
>50 and <=60, Self-emp-not-inc, Some-college, Divorced, Not-in-family, White, Female,North America, >50K
>70 and <=80, Private, 10th, Divorced, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, Black, Female,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Federal-gov, HS-grad, Never-married, Not-in-family, Black, Male,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30, Private, 11th, Never-married, Other-relative, White, Male,North America, <=50K
>30 and <=40, State-gov, 5th-6th, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
<=25, State-gov, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>40 and <=50, Self-emp-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, 11th, Married-civ-spouse, Wife, White, Female,North America, <=50K
>40 and <=50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Husband, White, Male,Europe, <=50K
>40 and <=50, Private, HS-grad, Separated, Unmarried, Black, Male,North America, <=50K
>30 and <=40, Private, Some-college, Divorced, Not-in-family, White, Female,North America, <=50K
>40 and <=50, Private, HS-grad, Never-married, Unmarried, Black, Female,North America, <=50K
>30 and <=40, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Divorced, Unmarried, Black, Female,North America, <=50K
>30 and <=40, Private, HS-grad, Never-married, Not-in-family, Black, Male,North America, <=50K
>30 and <=40, Private, Some-college, Never-married, Not-in-family, White, Male,North America, >50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Masters, Never-married, Not-in-family, White, Male,North America, >50K
<=25,Never-worked, Some-college, Never-married, Own-child, White, Female,North America, <=50K
<=25, Private, 10th, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30,Never-worked, Bachelors, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, 11th, Never-married, Not-in-family, White, Female,North America, <=50K
>40 and <=50, Private, HS-grad, Widowed, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Local-gov, Assoc-voc, Divorced, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Local-gov, Masters, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Female,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, 10th, Never-married, Own-child, Black, Female,North America, <=50K
<=25, Private, HS-grad, Never-married, Not-in-family, Black, Male,North America, <=50K
<=25, State-gov, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, State-gov, HS-grad, Separated, Unmarried, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, Some-college, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, Some-college, Separated, Unmarried, White, Female,North America, <=50K
>30 and <=40, Private, Prof-school, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Masters, Widowed, Not-in-family, White, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, Other, Female,North America, <=50K
>40 and <=50, State-gov, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60,Never-worked, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Never-married, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Not-in-family, Black, Female,North America, <=50K
>40 and <=50, Federal-gov, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Private, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Other-relative, White, Female,North America, <=50K
>25 and <=30, Private, Bachelors, Never-married, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Masters, Never-married, Not-in-family, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>60 and <=70, Private, 7th-8th, Widowed, Not-in-family, White, Female,North America, <=50K
>25 and <=30, Private, HS-grad, Never-married, Own-child, White, Female,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Self-emp-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Federal-gov, Some-college, Never-married, Not-in-family, White, Female,North America, <=50K
>30 and <=40,Never-worked, 11th, Never-married, Not-in-family, Black, Female,North America, <=50K
>25 and <=30, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Assoc-acdm, Never-married, Own-child, White, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Never-married, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, Masters, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, 7th-8th, Never-married, Not-in-family, White, Female,Europe, <=50K
>30 and <=40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Masters, Separated, Not-in-family, White, Male,North America, >50K
>40 and <=50, Federal-gov, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Married-civ-spouse, Own-child, White, Female,North America, <=50K
>30 and <=40, Private, HS-grad, Divorced, Unmarried, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Wife, White, Female,Europe, >50K
>30 and <=40, Self-emp-not-inc, Some-college, Married-civ-spouse, Husband, Amer-Indian-Eskimo, Male,North America, <=50K
>30 and <=40, Private, Prof-school, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Never-married, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30, Private, HS-grad, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>40 and <=50, Private, Some-college, Never-married, Not-in-family, White, Female,North America, <=50K
>40 and <=50, State-gov, Masters, Married-civ-spouse, Husband, Black, Male,North America, >50K
>30 and <=40, Private, 11th, Never-married, Not-in-family, White, Male,North America, >50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>60 and <=70,Never-worked, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Never-married, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Private, Prof-school, Never-married, Not-in-family, White, Female,North America, >50K
>30 and <=40,Never-worked, Assoc-voc, Divorced, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Never-married, Unmarried, Black, Male,North America, <=50K
>60 and <=70, Self-emp-not-inc, Prof-school, Divorced, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Never-married, Not-in-family, Black, Male,North America, <=50K
>50 and <=60, Private, Some-college, Married-civ-spouse, Husband, White, Male,Antarctica, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, State-gov, Doctorate, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Federal-gov, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, Some-college, Never-married, Own-child, Black, Male,North America, <=50K
>40 and <=50, Private, 10th, Never-married, Not-in-family, Black, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
>60 and <=70, Private, 11th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, 11th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Self-emp-not-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Wife, White, Female,North America, >50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Private, 10th, Separated, Unmarried, White, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>40 and <=50, Local-gov, Some-college, Divorced, Unmarried, Black, Female,North America, <=50K
>25 and <=30, Private, HS-grad, Never-married, Not-in-family, Black, Male,North America, <=50K
>40 and <=50, Private, 11th, Married-spouse-absent, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Private, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, Some-college, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, 10th, Never-married, Not-in-family, White, Male,North America, <=50K
>60 and <=70, Private, HS-grad, Married-civ-spouse, Husband, Black, Male,North America, <=50K
<=25, Private, 10th, Never-married, Own-child, White, Male,North America, <=50K
<=25, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, State-gov, HS-grad, Divorced, Unmarried, White, Male,North America, <=50K
>50 and <=60, Private, 10th, Married-spouse-absent, Not-in-family, Asian-Pac-Islander, Male,Asia, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Self-emp-inc, Prof-school, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Local-gov, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Self-emp-inc, HS-grad, Married-civ-spouse, Husband, Black, Male,North America, >50K
>60 and <=70, Local-gov, Masters, Married-civ-spouse, Husband, White, Male,Europe, <=50K
>60 and <=70, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Self-emp-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Other-relative, Black, Female,North America, <=50K
>60 and <=70, Private, 5th-6th, Married-spouse-absent, Unmarried, White, Female,North America, <=50K
<=25, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Local-gov, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Local-gov, Masters, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Assoc-voc, Never-married, Not-in-family, White, Female,North America, <=50K
>70 and <=80,Never-worked, 7th-8th, Widowed, Other-relative, White, Female,Europe, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Assoc-voc, Divorced, Not-in-family, White, Male,North America, <=50K
<=25, Private, 11th, Never-married, Own-child, White, Male,Europe, <=50K
>30 and <=40, Federal-gov, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Assoc-voc, Never-married, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, 7th-8th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Local-gov, HS-grad, Married-civ-spouse, Husband, Black, Male,North America, <=50K
<=25, Private, Masters, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Masters, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Female,North America, <=50K
>25 and <=30, Private, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, State-gov, Assoc-voc, Never-married, Not-in-family, White, Male,North America, >50K
<=25, Private, HS-grad, Never-married, Own-child, Black, Male,North America, <=50K
>50 and <=60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, Black, Male,North America, <=50K
