Month,DayofMonth,DayOfWeek,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-9,c-21,c-3,WN,HOU,AUS,<=200,N
c-9,c-18,c-7,AS,SEA,SNA,>700 and <=1000,N
c-8,c-1,c-1,WN,LAX,ABQ,>600 and <=700,N
c-9,c-27,c-2,UA,DCA,ORD,>600 and <=700,N
c-11,c-27,c-1,MQ,DFW,LIT,>300 and <=400,Y
c-5,c-4,c-3,MQ,BOS,RDU,>600 and <=700,N
c-12,c-25,c-7,AS,RNO,SEA,>500 and <=600,N
c-2,c-23,c-3,MQ,MLI,ORD,<=200,N
c-11,c-2,c-3,WN,PHX,SLC,>500 and <=600,N
c-6,c-9,c-4,OO,IDA,SLC,<=200,N
c-5,c-27,c-5,WN,SJC,LAS,>300 and <=400,N
c-2,c-12,c-7,MQ,CLL,DFW,<=200,N
c-4,c-3,c-7,B6,IAD,FLL,>700 and <=1000,Y
c-4,c-11,c-2,DL,FLL,BOS,>1000 and <=1500,N
c-5,c-11,c-4,CO,AUS,IAH,<=200,N
c-8,c-9,c-2,WN,PHX,HOU,>1000 and <=1500,Y
c-1,c-31,c-2,MQ,CLE,ORD,>300 and <=400,N
c-2,c-3,c-4,WN,HOU,DAL,>200 and <=300,N
c-9,c-18,c-1,DL,BOS,TPA,>1000 and <=1500,N
c-12,c-27,c-2,UA,DEN,LGA,>1500,N
c-11,c-8,c-3,DL,SAT,ATL,>700 and <=1000,N
c-2,c-8,c-3,AA,SAN,DFW,>1000 and <=1500,N
c-7,c-20,c-3,WN,MDW,ISP,>700 and <=1000,N
c-12,c-7,c-3,WN,PHX,SMF,>600 and <=700,N
c-3,c-20,c-7,DH,IAD,BDL,>300 and <=400,N
c-8,c-11,c-5,UA,ORD,PHX,>1000 and <=1500,N
c-12,c-2,c-6,OH,DTW,CVG,>200 and <=300,N
c-9,c-11,c-1,OO,OKC,SLC,>700 and <=1000,N
c-10,c-31,c-2,FL,ATL,TPA,>400 and <=500,N
c-12,c-4,c-7,CO,EWR,ORD,>700 and <=1000,N
c-9,c-24,c-7,DL,ATL,EWR,>700 and <=1000,N
c-1,c-14,c-6,UA,DEN,STL,>700 and <=1000,N
c-7,c-6,c-3,WN,SJC,LAS,>300 and <=400,N
c-12,c-6,c-2,CO,IAH,GPT,>300 and <=400,N
c-9,c-6,c-3,OO,MSO,SLC,>400 and <=500,N
c-6,c-19,c-1,OO,PDX,SEA,<=200,Y
c-1,c-10,c-1,OH,ATL,ROC,>700 and <=1000,Y
c-9,c-1,c-4,CO,EWR,DCA,<=200,N
c-11,c-11,c-5,OH,ORF,MCO,>600 and <=700,N
c-11,c-6,c-7,OO,SBP,SFO,<=200,Y
c-5,c-8,c-7,OO,LAX,SBP,<=200,N
c-10,c-17,c-2,UA,MCI,DEN,>500 and <=600,N
c-11,c-30,c-4,MQ,BWI,BOS,>300 and <=400,Y
c-7,c-21,c-4,NW,MSP,PHX,>1000 and <=1500,Y
c-7,c-9,c-6,MQ,LGA,CMH,>400 and <=500,N
c-2,c-5,c-6,DL,SNA,ATL,>1500,N
c-7,c-21,c-5,AA,DFW,SDF,>700 and <=1000,N
c-2,c-20,c-7,UA,DEN,PHX,>600 and <=700,N
c-3,c-16,c-3,AA,DFW,LAX,>1000 and <=1500,N
c-2,c-20,c-7,XE,IAH,IAD,>1000 and <=1500,N
c-2,c-18,c-6,WN,LAS,MCI,>1000 and <=1500,Y
c-5,c-9,c-2,NW,IAH,MSP,>1000 and <=1500,N
c-5,c-23,c-2,NW,MEM,MKE,>500 and <=600,N
c-3,c-7,c-2,US,LAS,LAX,>200 and <=300,Y
c-1,c-14,c-5,NW,MSP,MCI,>300 and <=400,N
c-2,c-10,c-4,B6,TPA,BOS,>1000 and <=1500,N
c-3,c-7,c-1,EV,TPA,GSP,>400 and <=500,N
c-9,c-24,c-7,YV,CLT,IAD,>300 and <=400,N
c-4,c-5,c-3,AA,BNA,MIA,>700 and <=1000,N
c-11,c-4,c-6,UA,SAT,DEN,>700 and <=1000,N
c-12,c-25,c-7,UA,MCO,DEN,>1500,N
c-10,c-9,c-1,MQ,LAW,DFW,<=200,N
c-4,c-15,c-5,NW,MCO,MKE,>1000 and <=1500,N
c-12,c-21,c-4,OO,CAK,ORD,>300 and <=400,Y
c-4,c-8,c-5,MQ,ORD,MEM,>400 and <=500,Y
c-8,c-18,c-4,UA,LAX,ORD,>1500,N
c-1,c-4,c-3,DL,ATL,DFW,>700 and <=1000,Y
c-8,c-26,c-5,DL,IAH,ATL,>600 and <=700,N
c-4,c-21,c-4,AS,SEA,DCA,>1500,Y
c-8,c-26,c-6,AS,SAN,SEA,>1000 and <=1500,N
c-5,c-30,c-1,XE,CLT,CLE,>400 and <=500,N
c-10,c-17,c-1,OO,SLC,SEA,>600 and <=700,N
c-2,c-1,c-3,US,LGA,BOS,<=200,N
c-4,c-28,c-4,DL,IND,ATL,>400 and <=500,N
c-3,c-10,c-5,MQ,ORF,MIA,>700 and <=1000,N
c-8,c-21,c-7,B6,FLL,LGA,>1000 and <=1500,N
c-5,c-13,c-6,MQ,HSV,DFW,>600 and <=700,N
c-11,c-18,c-6,YV,IAD,DTW,>300 and <=400,N
c-8,c-3,c-3,WN,FLL,BWI,>700 and <=1000,N
c-5,c-4,c-3,FL,ATL,MIA,>500 and <=600,N
c-8,c-11,c-5,MQ,CLT,ORD,>500 and <=600,N
c-8,c-7,c-7,AS,LAS,SEA,>700 and <=1000,N
c-10,c-18,c-3,WN,PHX,PVD,>1500,N
c-8,c-19,c-5,XE,CHS,EWR,>600 and <=700,Y
c-3,c-23,c-4,WN,DAL,SAT,>200 and <=300,N
c-2,c-10,c-4,WN,BOI,RNO,>300 and <=400,N
c-9,c-24,c-7,WN,DAL,HOU,>200 and <=300,N
c-2,c-20,c-7,XE,MEM,EWR,>700 and <=1000,N
c-2,c-8,c-2,US,GSO,CLT,<=200,N
c-8,c-16,c-3,WN,SLC,PHX,>500 and <=600,N
c-8,c-4,c-4,XE,IAH,MCI,>600 and <=700,N
c-11,c-16,c-4,WN,BHM,STL,>400 and <=500,N
c-4,c-28,c-5,FL,PHL,BOS,>200 and <=300,N
c-4,c-25,c-1,WN,SJC,LAS,>300 and <=400,N
c-11,c-8,c-2,OH,BOS,PWM,<=200,N
c-8,c-14,c-1,CO,EWR,MSP,>1000 and <=1500,N
c-1,c-25,c-2,MQ,DFW,SGF,>300 and <=400,N
c-9,c-8,c-4,DL,JFK,SLC,>1500,N
c-1,c-12,c-3,TZ,MDW,SEA,>1500,N
c-2,c-7,c-1,NW,DTW,PHL,>400 and <=500,N
c-1,c-25,c-3,WN,HOU,BNA,>600 and <=700,N
c-1,c-17,c-1,HP,LAS,BWI,>1500,Y
c-11,c-29,c-3,B6,BOS,PHX,>1500,N
c-2,c-13,c-1,XE,IAH,LBB,>400 and <=500,N
c-4,c-10,c-7,AA,SAT,DFW,>200 and <=300,N
c-2,c-4,c-5,CO,MFE,IAH,>300 and <=400,N
c-7,c-28,c-5,WN,SEA,OAK,>600 and <=700,Y
c-10,c-21,c-5,AA,ORD,PHX,>1000 and <=1500,N
c-3,c-9,c-4,XE,DTW,EWR,>400 and <=500,N
c-3,c-17,c-5,AA,MIA,IAD,>700 and <=1000,N
c-12,c-20,c-2,DH,IAD,RDU,>200 and <=300,Y
c-8,c-12,c-5,OO,SAN,LAX,<=200,N
c-9,c-25,c-1,US,DCA,CLT,>300 and <=400,N
c-4,c-29,c-5,OO,DEN,IAH,>700 and <=1000,Y
c-5,c-19,c-4,UA,SLC,ORD,>1000 and <=1500,Y
c-8,c-3,c-3,NW,ALB,DTW,>400 and <=500,N
c-5,c-17,c-3,AA,DFW,ATL,>700 and <=1000,Y
c-8,c-21,c-1,MQ,LAX,LAS,>200 and <=300,N
c-6,c-8,c-3,OH,CVG,SAV,>500 and <=600,N
c-5,c-17,c-2,WN,RNO,SJC,<=200,N
c-4,c-2,c-7,MQ,DFW,MEM,>400 and <=500,N
c-11,c-21,c-1,OH,JFK,PNS,>1000 and <=1500,N
c-11,c-20,c-7,DL,ATL,DCA,>500 and <=600,N
c-2,c-20,c-1,OO,RDD,SFO,<=200,N
c-1,c-15,c-7,AS,SEA,DCA,>1500,N
c-11,c-1,c-3,AS,PDX,LAX,>700 and <=1000,Y
c-10,c-21,c-6,MQ,ORD,LIT,>500 and <=600,N
c-3,c-1,c-3,DL,LAX,ATL,>1500,N
c-12,c-27,c-3,OO,ORD,JAX,>700 and <=1000,N
c-11,c-8,c-3,XE,RIC,CLE,>300 and <=400,Y
c-5,c-18,c-3,UA,SNA,SFO,>300 and <=400,Y
c-5,c-10,c-3,OO,AUS,DEN,>700 and <=1000,N
c-4,c-28,c-4,FL,ATL,SFO,>1500,N
c-7,c-30,c-6,AA,LIH,LAX,>1500,N
c-6,c-29,c-4,UA,ORD,PIT,>400 and <=500,Y
c-4,c-13,c-4,US,IAH,PHX,>1000 and <=1500,N
c-5,c-20,c-5,US,FLL,PHL,>700 and <=1000,N
c-2,c-5,c-6,WN,ALB,BWI,>200 and <=300,N
c-3,c-18,c-5,US,PHL,CLT,>400 and <=500,Y
c-10,c-2,c-1,OO,PIH,SLC,<=200,N
c-6,c-27,c-2,AS,SEA,RNO,>500 and <=600,N
c-12,c-27,c-3,B6,JFK,SJU,>1500,N
c-5,c-26,c-5,WN,SAN,OAK,>400 and <=500,N
c-4,c-25,c-2,OH,CVG,AUS,>700 and <=1000,N
c-6,c-17,c-6,MQ,LBB,DFW,>200 and <=300,N
c-10,c-19,c-3,MQ,JAN,DFW,>400 and <=500,N
c-10,c-11,c-2,DL,JFK,LAX,>1500,N
c-5,c-5,c-5,XE,IND,CLE,>200 and <=300,N
c-8,c-29,c-1,WN,SEA,SMF,>600 and <=700,Y
c-6,c-27,c-1,WN,HOU,DAL,>200 and <=300,N
c-9,c-10,c-6,MQ,ORD,LSE,>200 and <=300,N
c-9,c-13,c-2,OO,ORD,RAP,>700 and <=1000,N
c-12,c-27,c-2,OO,LAX,SAN,<=200,N
c-5,c-10,c-3,MQ,LGA,XNA,>1000 and <=1500,N
c-3,c-31,c-4,OO,EUG,PDX,<=200,N
c-5,c-13,c-5,EV,MGM,ATL,<=200,N
c-2,c-14,c-2,WN,SAN,PHX,>300 and <=400,N
c-12,c-19,c-2,US,PIT,PHL,>200 and <=300,N
c-7,c-21,c-5,DL,ATL,BUF,>700 and <=1000,N
c-7,c-30,c-7,CO,LAX,IAH,>1000 and <=1500,N
c-2,c-25,c-6,WN,SMF,MCI,>1000 and <=1500,N
c-1,c-23,c-1,YV,GJT,DEN,>200 and <=300,N
c-7,c-3,c-1,AA,MIA,STT,>1000 and <=1500,N
c-7,c-27,c-3,MQ,LGA,CMH,>400 and <=500,N
c-3,c-9,c-4,NW,MSP,BIS,>300 and <=400,N
c-8,c-23,c-3,B6,MCO,JFK,>700 and <=1000,N
c-8,c-13,c-7,OO,SFO,SMF,<=200,N
c-5,c-21,c-7,MQ,MLI,ORD,<=200,N
c-6,c-24,c-6,DL,SEA,SLC,>600 and <=700,N
c-7,c-10,c-7,DL,SFO,ATL,>1500,N
c-8,c-13,c-7,WN,ONT,SMF,>300 and <=400,N
c-1,c-24,c-2,US,OAK,PHX,>600 and <=700,N
c-4,c-21,c-5,MQ,ORD,SDF,>200 and <=300,N
c-9,c-9,c-5,B6,BUF,JFK,>300 and <=400,N
c-6,c-1,c-4,CO,EWR,MIA,>1000 and <=1500,Y
c-8,c-9,c-3,XE,CLE,ORD,>300 and <=400,N
c-12,c-27,c-3,NW,MSP,BDL,>1000 and <=1500,Y
c-2,c-21,c-2,AA,MSP,ORD,>300 and <=400,N
c-9,c-20,c-3,MQ,DFW,MLU,>200 and <=300,Y
c-2,c-17,c-5,OO,ORD,AZO,<=200,Y
c-6,c-24,c-5,WN,SDF,STL,>200 and <=300,N
c-11,c-13,c-1,FL,ATL,GPT,>300 and <=400,N
c-8,c-9,c-3,AA,DFW,BNA,>600 and <=700,N
c-10,c-8,c-6,DH,IAD,CMH,>200 and <=300,N
c-5,c-15,c-1,US,DCA,MCO,>700 and <=1000,Y
c-6,c-17,c-5,MQ,CMH,ORD,>200 and <=300,N
c-3,c-2,c-3,WN,SJC,LAS,>300 and <=400,N
c-5,c-12,c-4,NW,MEM,VPS,>300 and <=400,N
c-6,c-21,c-3,CO,SJU,EWR,>1500,N
c-5,c-13,c-6,DL,ATL,LAX,>1500,Y
c-1,c-9,c-7,WN,STL,PHX,>1000 and <=1500,N
c-1,c-5,c-3,XE,IAH,STL,>600 and <=700,N
c-8,c-9,c-2,WN,SAT,ELP,>400 and <=500,N
c-8,c-19,c-6,AS,SMF,SEA,>600 and <=700,N
c-9,c-30,c-5,F9,DEN,SAN,>700 and <=1000,N
c-8,c-29,c-1,DL,JFK,LAS,>1500,N
c-8,c-17,c-3,OO,SLC,SFO,>500 and <=600,Y
c-4,c-13,c-4,OO,ATW,ORD,<=200,N
c-8,c-19,c-5,US,PHL,BOS,>200 and <=300,N
c-10,c-5,c-3,MQ,CMH,ORD,>200 and <=300,N
c-1,c-24,c-1,OH,CVG,SBN,>200 and <=300,N
c-1,c-6,c-5,EV,ATL,EYW,>600 and <=700,N
c-1,c-10,c-2,EV,ROC,CVG,>400 and <=500,N
c-2,c-20,c-1,DL,JAN,ATL,>300 and <=400,Y
c-2,c-20,c-7,OH,CAK,CVG,>200 and <=300,N
c-9,c-24,c-7,EV,SLC,BZN,>300 and <=400,N
c-2,c-28,c-2,AA,LAX,SFO,>300 and <=400,N
c-1,c-14,c-6,DL,LAS,SLC,>300 and <=400,N
c-9,c-10,c-7,OO,ORD,CHS,>700 and <=1000,Y
c-3,c-3,c-4,NW,TPA,DTW,>700 and <=1000,N
c-11,c-10,c-5,XE,IAH,BPT,<=200,Y
c-8,c-22,c-1,WN,BNA,OAK,>1500,N
c-2,c-23,c-4,AA,ORD,STL,>200 and <=300,N
c-4,c-27,c-4,B6,RSW,BOS,>1000 and <=1500,N
c-12,c-15,c-5,DL,BOS,ATL,>700 and <=1000,N
c-5,c-30,c-1,WN,PHX,SAT,>700 and <=1000,N
c-3,c-1,c-2,HP,PHX,GEG,>1000 and <=1500,N
c-9,c-3,c-7,NW,DTW,MDW,>200 and <=300,N
c-5,c-24,c-2,OO,DEN,FAR,>600 and <=700,N
c-2,c-23,c-4,XE,CLE,MCI,>600 and <=700,N
c-8,c-29,c-2,FL,ATL,PHF,>500 and <=600,Y
c-10,c-18,c-2,MQ,ORD,DBQ,<=200,N
c-5,c-30,c-2,XE,MSP,CLE,>600 and <=700,N
c-11,c-10,c-4,XE,IAH,BHM,>500 and <=600,N
c-12,c-20,c-2,WN,STL,OMA,>300 and <=400,N
c-3,c-29,c-3,MQ,CMH,LGA,>400 and <=500,N
c-1,c-23,c-1,US,PHL,SJU,>1500,N
c-11,c-25,c-5,AS,IAD,SEA,>1500,N
c-2,c-13,c-7,FL,ATL,RDU,>300 and <=400,N
c-10,c-3,c-1,AA,BWI,ORD,>600 and <=700,N
c-6,c-16,c-5,AA,DFW,DTW,>700 and <=1000,N
c-1,c-19,c-3,HP,IND,PHX,>1000 and <=1500,N
c-4,c-21,c-4,AA,BOS,LAX,>1500,N
c-1,c-13,c-4,HA,ITO,HNL,>200 and <=300,N
c-2,c-1,c-2,DL,PNS,ATL,>200 and <=300,N
c-7,c-8,c-5,HP,LAS,DTW,>1500,Y
c-1,c-23,c-1,CO,EWR,FLL,>1000 and <=1500,N
c-5,c-23,c-1,CO,TUL,IAH,>400 and <=500,N
c-11,c-22,c-2,XE,SDF,EWR,>600 and <=700,Y
c-4,c-26,c-3,OO,TUS,SLC,>600 and <=700,N
c-4,c-28,c-5,DL,ATL,PHL,>600 and <=700,N
c-12,c-10,c-7,HA,OGG,HNL,<=200,N
c-3,c-2,c-3,DL,ORD,SLC,>1000 and <=1500,N
c-2,c-9,c-3,AA,IAH,MIA,>700 and <=1000,N
c-5,c-27,c-5,US,CLT,RIC,>200 and <=300,N
c-6,c-1,c-3,HP,MSP,LAS,>1000 and <=1500,N
c-1,c-8,c-6,XE,CLE,BDL,>400 and <=500,N
c-8,c-4,c-5,EV,ATL,CLE,>500 and <=600,Y
c-6,c-10,c-5,AA,DEN,DFW,>600 and <=700,Y
c-12,c-23,c-5,WN,ISP,FLL,>1000 and <=1500,N
c-11,c-23,c-4,NW,DTW,DEN,>1000 and <=1500,Y
c-10,c-4,c-3,XE,BPT,IAH,<=200,Y
c-6,c-29,c-4,AS,SEA,ANC,>1000 and <=1500,N
c-2,c-17,c-5,AA,IAD,LAX,>1500,Y
c-6,c-17,c-5,FL,MDW,ATL,>500 and <=600,N
c-4,c-14,c-5,FL,PHL,BOS,>200 and <=300,N
c-7,c-24,c-1,CO,EWR,SAN,>1500,N
c-6,c-14,c-2,XE,IAH,MAF,>400 and <=500,N
c-11,c-17,c-5,WN,SAN,OAK,>400 and <=500,N
c-12,c-14,c-4,WN,SLC,BOI,>200 and <=300,N
c-7,c-9,c-7,DL,ATL,IND,>400 and <=500,Y
c-6,c-22,c-3,HP,SFO,LAS,>400 and <=500,N
c-7,c-25,c-2,YV,ICT,PHX,>700 and <=1000,N
c-1,c-25,c-3,FL,IAD,ATL,>500 and <=600,N
c-9,c-19,c-1,UA,DEN,OMA,>400 and <=500,N
c-6,c-28,c-3,NW,MSN,MSP,>200 and <=300,N
c-2,c-21,c-2,UA,PHX,DEN,>600 and <=700,N
c-12,c-8,c-5,CO,EWR,FLL,>1000 and <=1500,N
c-4,c-26,c-2,AA,IAD,DFW,>1000 and <=1500,N
c-3,c-9,c-4,YV,CLT,SAV,>200 and <=300,N
c-4,c-25,c-1,OO,BOI,SFO,>500 and <=600,N
c-1,c-23,c-7,OH,CVG,CMH,<=200,Y
c-6,c-5,c-1,UA,ABQ,DEN,>300 and <=400,N
c-6,c-15,c-4,DL,SLC,PHX,>500 and <=600,N
c-1,c-16,c-1,WN,RDU,BWI,>200 and <=300,N
c-9,c-20,c-3,WN,GEG,PDX,>200 and <=300,N
c-8,c-21,c-7,XE,CMH,EWR,>400 and <=500,N
c-2,c-13,c-7,OH,FNT,CVG,>200 and <=300,N
c-4,c-6,c-4,UA,ORD,MCI,>400 and <=500,N
c-1,c-2,c-1,AA,EWR,DFW,>1000 and <=1500,N
c-7,c-5,c-2,XE,RIC,EWR,>200 and <=300,N
c-11,c-20,c-1,WN,SAN,SMF,>400 and <=500,Y
c-11,c-12,c-7,YV,TUS,PHX,<=200,N
c-4,c-29,c-5,XE,CLE,BDL,>400 and <=500,N
c-1,c-5,c-4,UA,OKC,DEN,>400 and <=500,N
c-8,c-16,c-2,XE,IAH,MSP,>1000 and <=1500,Y
c-6,c-17,c-5,AS,SEA,SMF,>600 and <=700,N
c-11,c-30,c-3,AA,DFW,MCI,>400 and <=500,N
c-9,c-6,c-2,DL,ATL,ORD,>600 and <=700,N
c-1,c-9,c-1,US,LAS,BOS,>1500,N
c-5,c-9,c-1,XE,OMA,EWR,>1000 and <=1500,N
c-6,c-22,c-3,AS,ANC,SEA,>1000 and <=1500,Y
c-11,c-28,c-2,US,DCA,LGA,>200 and <=300,N
c-9,c-10,c-7,OO,ORD,TYS,>400 and <=500,Y
c-1,c-1,c-7,US,LAS,SFO,>400 and <=500,Y
c-5,c-3,c-2,DL,ATL,SRQ,>400 and <=500,N
c-4,c-20,c-3,DL,ATL,BDL,>700 and <=1000,N
c-10,c-5,c-3,EV,ATL,CAE,<=200,Y
c-8,c-11,c-4,US,MHT,CLT,>700 and <=1000,N
c-2,c-5,c-6,MQ,LIT,ORD,>500 and <=600,N
c-5,c-30,c-1,OO,DEN,CPR,>200 and <=300,N
c-9,c-5,c-2,CO,IAH,SAT,<=200,N
c-12,c-5,c-1,NW,DTW,MEM,>600 and <=700,Y
c-4,c-25,c-1,HP,PHX,MSY,>1000 and <=1500,N
c-4,c-8,c-5,WN,BNA,BWI,>500 and <=600,N
c-9,c-2,c-5,UA,LAS,IAD,>1500,N
c-9,c-2,c-5,MQ,SPS,DFW,<=200,N
c-5,c-1,c-7,UA,ORD,LAX,>1500,N
c-11,c-16,c-4,AA,LAX,DFW,>1000 and <=1500,N
c-6,c-23,c-5,WN,LAS,SAT,>1000 and <=1500,Y
c-3,c-3,c-5,FL,PHL,MCO,>700 and <=1000,N
c-12,c-16,c-6,NW,MSP,DLH,<=200,N
c-6,c-4,c-6,OO,FAR,DEN,>600 and <=700,Y
c-4,c-11,c-2,MQ,DFW,SGF,>300 and <=400,Y
c-3,c-6,c-7,CO,MSP,EWR,>1000 and <=1500,N
c-11,c-2,c-4,EV,ATL,ABY,<=200,N
c-7,c-21,c-4,NW,MEM,STL,>200 and <=300,Y
c-3,c-22,c-2,DL,TPA,ATL,>400 and <=500,Y
c-12,c-28,c-3,DH,IAD,ALB,>300 and <=400,Y
c-2,c-4,c-5,HA,OGG,HNL,<=200,N
c-3,c-6,c-1,UA,ORD,GRR,<=200,Y
c-5,c-6,c-6,OH,DTW,JFK,>500 and <=600,N
c-7,c-12,c-2,AA,DFW,BUR,>1000 and <=1500,Y
c-7,c-16,c-7,EV,ATL,CRP,>700 and <=1000,Y
c-3,c-14,c-1,WN,PHX,ABQ,>300 and <=400,N
c-9,c-2,c-6,XE,MSY,IAH,>300 and <=400,N
c-3,c-2,c-4,YV,BMI,ORD,<=200,Y
c-7,c-29,c-6,AA,COS,DFW,>500 and <=600,N
c-1,c-16,c-1,HA,HNL,LIH,<=200,N
c-9,c-11,c-7,DL,JAC,SLC,>200 and <=300,Y
c-5,c-21,c-6,XE,CLE,PHL,>300 and <=400,N
c-1,c-15,c-7,US,PHL,BNA,>600 and <=700,Y
c-4,c-12,c-3,MQ,RDU,JFK,>400 and <=500,N
c-10,c-3,c-1,NW,MSP,PSP,>1000 and <=1500,N
c-2,c-9,c-4,CO,EWR,ORD,>700 and <=1000,N
c-7,c-23,c-6,AA,DFW,MDW,>700 and <=1000,Y
c-5,c-18,c-3,WN,OAK,LAX,>300 and <=400,Y
c-5,c-23,c-2,AA,DCA,DFW,>1000 and <=1500,N
c-1,c-26,c-3,WN,DAL,LBB,>200 and <=300,N
c-2,c-17,c-4,HA,HNL,KOA,<=200,N
c-1,c-10,c-1,OO,SGU,LAX,>300 and <=400,N
c-2,c-23,c-4,CO,IAH,DFW,>200 and <=300,N
c-5,c-27,c-6,DL,BOS,TPA,>1000 and <=1500,N
c-2,c-16,c-4,XE,IAH,BNA,>600 and <=700,Y
c-4,c-19,c-3,DL,LAX,MCO,>1500,N
c-7,c-3,c-7,DL,CVG,ATL,>300 and <=400,N
c-2,c-19,c-7,AA,PHX,DFW,>700 and <=1000,N
c-9,c-18,c-7,UA,SFO,LAX,>300 and <=400,N
c-8,c-3,c-3,NW,MDW,DTW,>200 and <=300,N
c-4,c-1,c-5,B6,JFK,ROC,>200 and <=300,N
c-11,c-15,c-2,UA,DEN,LAS,>600 and <=700,N
c-4,c-5,c-2,AA,JFK,LAX,>1500,N
c-12,c-21,c-4,US,ALB,CLT,>600 and <=700,Y
c-2,c-9,c-4,UA,FLL,IAD,>700 and <=1000,N
c-6,c-23,c-4,WN,MCO,BDL,>1000 and <=1500,N
c-4,c-10,c-7,WN,HOU,TUL,>400 and <=500,N
c-7,c-20,c-3,OO,GEG,SLC,>500 and <=600,N
c-1,c-5,c-3,DH,IAD,EWR,>200 and <=300,Y
c-7,c-8,c-5,OH,BGM,CVG,>500 and <=600,N
c-9,c-19,c-1,B6,MCO,JFK,>700 and <=1000,N
c-11,c-23,c-4,WN,SJC,PDX,>500 and <=600,N
c-7,c-10,c-7,EV,AVL,ATL,<=200,N
c-8,c-2,c-2,UA,SFO,LAX,>300 and <=400,N
c-2,c-1,c-2,DL,JFK,LAX,>1500,N
c-6,c-8,c-4,WN,ISP,TPA,>1000 and <=1500,N
c-9,c-4,c-7,FL,BMI,ATL,>500 and <=600,N
c-4,c-5,c-3,MQ,SDF,ORD,>200 and <=300,N
c-1,c-15,c-7,AA,STL,LAX,>1500,N
c-11,c-30,c-3,DL,CVG,ATL,>300 and <=400,N
c-8,c-6,c-7,AS,SEA,SNA,>700 and <=1000,N
c-4,c-17,c-1,MQ,LAX,SAN,<=200,N
c-7,c-1,c-6,CO,EWR,IAH,>1000 and <=1500,Y
c-8,c-6,c-6,OO,HLN,SLC,>400 and <=500,N
c-11,c-20,c-1,MQ,DFW,AMA,>300 and <=400,N
c-8,c-27,c-7,EV,EVV,ATL,>300 and <=400,N
c-3,c-24,c-4,MQ,MIA,PIT,>1000 and <=1500,N
c-5,c-26,c-4,US,ORD,DCA,>600 and <=700,N
c-3,c-7,c-2,FL,ROC,TPA,>1000 and <=1500,N
c-9,c-24,c-6,WN,PHX,LAX,>300 and <=400,Y
c-11,c-15,c-2,OO,MFR,PDX,>200 and <=300,Y
c-8,c-7,c-7,EV,ATL,CAE,<=200,Y
c-12,c-9,c-6,XE,MSP,CLE,>600 and <=700,N
c-10,c-31,c-1,UA,PVD,ORD,>700 and <=1000,N
c-8,c-15,c-2,XE,EWR,MHT,>200 and <=300,N
c-11,c-27,c-1,XE,IND,IAH,>700 and <=1000,N
c-9,c-3,c-7,DL,SEA,SLC,>600 and <=700,N
c-4,c-12,c-3,AA,SNA,ORD,>1500,N
c-12,c-31,c-6,WN,ABQ,OAK,>700 and <=1000,N
c-2,c-12,c-7,DL,SAV,ATL,>200 and <=300,N
c-6,c-4,c-6,WN,BWI,ISP,>200 and <=300,N
c-8,c-15,c-2,US,CLT,DCA,>300 and <=400,N
c-8,c-26,c-6,AS,SEA,DEN,>1000 and <=1500,N
c-1,c-5,c-4,NW,ATL,MEM,>300 and <=400,Y
c-6,c-8,c-4,WN,SAT,BNA,>700 and <=1000,N
c-3,c-21,c-2,AA,ORD,MIA,>1000 and <=1500,N
c-7,c-19,c-2,EV,ISP,ATL,>700 and <=1000,N
c-12,c-2,c-5,AA,DFW,SNA,>1000 and <=1500,N
c-1,c-8,c-7,AA,DFW,ORD,>700 and <=1000,N
c-3,c-27,c-1,XE,ATL,IAH,>600 and <=700,N
c-1,c-16,c-1,OH,BWI,BOS,>300 and <=400,N
c-11,c-13,c-7,CO,ATL,EWR,>700 and <=1000,N
c-9,c-11,c-7,CO,EWR,ATL,>700 and <=1000,N
c-8,c-9,c-3,B6,FLL,BOS,>1000 and <=1500,N
c-1,c-12,c-3,DH,RDU,IAD,>200 and <=300,N
c-9,c-16,c-6,FL,ATL,EWR,>700 and <=1000,N
c-9,c-10,c-6,FL,BWI,ROC,>200 and <=300,N
c-11,c-29,c-2,AA,ORD,SAT,>1000 and <=1500,N
c-12,c-28,c-3,MQ,DFW,LIT,>300 and <=400,Y
c-6,c-30,c-5,US,LAS,LAX,>200 and <=300,N
c-5,c-1,c-7,HP,LAX,PHX,>300 and <=400,N
c-6,c-1,c-3,WN,LAS,RNO,>300 and <=400,N
c-4,c-23,c-7,OO,SGU,SLC,>200 and <=300,N
c-1,c-29,c-6,FL,ATL,MCI,>600 and <=700,Y
c-9,c-6,c-3,AA,ORD,MSY,>700 and <=1000,N
c-10,c-29,c-6,US,CLT,MCO,>400 and <=500,N
c-10,c-31,c-1,EV,GRR,ATL,>600 and <=700,Y
c-10,c-11,c-3,CO,EWR,DCA,<=200,Y
c-9,c-9,c-5,WN,HOU,DAL,>200 and <=300,N
c-7,c-10,c-7,DL,JAX,ATL,>200 and <=300,Y
c-2,c-12,c-6,AS,SEA,SAN,>1000 and <=1500,Y
c-2,c-9,c-3,OH,CVG,JFK,>500 and <=600,N
c-10,c-16,c-1,WN,GEG,PDX,>200 and <=300,Y
c-6,c-18,c-7,UA,DEN,CLT,>1000 and <=1500,N
c-10,c-17,c-1,WN,OAK,SAN,>400 and <=500,N
